,Unnamed: 0,ATS SYSTEM CODE,LOCATION_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_ADDRESS_LINE_1,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,GEOGRAPHICAL_DISTRICT_CODE,LatLong,latitude,longitude,zipcode,zcta,nbhLabel,boroLabel,label
1408,1408,30Q011      ,P.S. 011 Kathryn Phelan,General Academic,Elementary,"0K,01,02,03,04,05,06",1/7/1952 12:00,Open,54-25 SKILLMAN AVENUE,402,26,25100,QN63,30,"(40.746127, -73.909032)",40.746127,-73.909032,11377,11377,Woodside,Queens,P.S. 011 Kathryn Phelan Elementary
1409,1409,30Q017      ,P.S. 017 Henry David Thoreau,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1967 12:00,Open,28-37 29 STREET,401,22,7100,QN71,30,"(40.768034, -73.922544)",40.768034,-73.922544,11102,11102,Astoria,Queens,P.S. 017 Henry David Thoreau Elementary
1410,1410,30Q069      ,P.S. 069 Jackson Heights,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2024 12:00,Open,77-02 37 AVENUE,403,25,28700,QN28,30,"(40.748804, -73.888457)",40.748804,-73.888457,11372,11372,Jackson Heights,Queens,P.S. 069 Jackson Heights Elementary
1411,1411,30Q070      ,P.S. 070,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2024 12:00,Open,30-45 42 STREET,401,22,14900,QN70,30,"(40.761762, -73.913964)",40.761762,-73.913964,11103,11103,Astoria,Queens,P.S. 070 Elementary
1412,1412,30Q076      ,P.S. 076 William Hallet,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1966 12:00,Open,36-36 10 STREET,401,26,3900,QN68,30,"(40.760862, -73.94163)",40.760862,-73.94163,11106,11106,Ravenswood (Astoria),Queens,P.S. 076 William Hallet Elementary
1413,1413,30Q078      ,P.S./I.S. 78Q,General Academic,K-8,"PK,0K,01,02,03,04,05",8/29/1997 0:00,Open,48-09 CENTER BOULEVARD,402,26,100,QN31,30,"(40.744368, -73.957177)",40.744368,-73.957177,11109,11109,Ravenswood (Astoria),Queens,P.S./I.S. 78Q K-8
1414,1414,30Q084      ,P.S. 084 Steinway,General Academic,Elementary,"0K,01,02,03,04,05",1/7/2004 12:00,Open,22-45 41 STREET,401,22,11900,QN72,30,"(40.771154, -73.906117)",40.771154,-73.906117,11105,11105,Astoria,Queens,P.S. 084 Steinway Elementary
1415,1415,30Q085      ,P.S. 085 Judge Charles Vallone,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2008 12:00,Open,23-70 31 STREET,401,22,11500,QN72,30,"(40.773126, -73.915039)",40.773126,-73.915039,11105,11105,Astoria,Queens,P.S. 085 Judge Charles Vallone Elementary
1416,1416,30Q092      ,P.S. 092 Harry T. Stewart Sr.,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2013 12:00,Open,99-01 34 AVENUE,403,21,37700,QN26,30,"(40.755983, -73.868773)",40.755983,-73.868773,11368,11368,Willets Point,Queens,P.S. 092 Harry T. Stewart Sr. Elementary
1417,1417,30Q111      ,P.S. 111 Jacob Blackwell,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/1950 12:00,Open,37-15 13 STREET,401,26,4300,QN68,30,"(40.758342, -73.939181)",40.758342,-73.939181,11101,11101,Long Island City,Queens,P.S. 111 Jacob Blackwell K-8
1418,1418,30Q112      ,P.S. 112 Dutch Kills,General Academic,Elementary,"0K,01,02,03,04,05",1/7/1952 12:00,Open,25-05 37 AVENUE,401,26,3300,QN68,30,"(40.757293, -73.933562)",40.757293,-73.933562,11106,11106,Ravenswood (Astoria),Queens,P.S. 112 Dutch Kills Elementary
1419,1419,30Q122      ,P.S. 122 Mamie Fay,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/2025 12:00,Open,21-21 DITMARS BOULEVARD,401,22,10300,QN72,30,"(40.780507, -73.915785)",40.780507,-73.915785,11105,11105,Astoria,Queens,P.S. 122 Mamie Fay K-8
1420,1420,30Q126      ,Albert Shanker School for Visual and Performing Ar,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2025 12:00,Open,31-51 21 STREET,401,22,7700,QN70,30,"(40.766008, -73.92999)",40.766008,-73.92999,11106,11106,Ravenswood (Astoria),Queens,Albert Shanker School for Visual and Performing Ar Junior High-Intermediate-Middle
1421,1421,30Q127      ,P.S. 127 Aerospace Science Magnet School,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08",1/7/2027 12:00,Open,98-01 25 AVENUE,403,21,35700,QN27,30,"(40.765507, -73.870931)",40.765507,-73.870931,11369,11369,East Elmhurst,Queens,P.S. 127 Aerospace Science Magnet School K-8
1422,1422,30Q141      ,I.S. 141 The Steinway,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1930 12:00,Open,37-11 21 AVENUE,401,22,12301,QN72,30,"(40.775766, -73.904508)",40.775766,-73.904508,11105,11105,Astoria,Queens,I.S. 141 The Steinway Junior High-Intermediate-Middle
1423,1423,30Q145      ,I.S. 145 Joseph Pulitzer,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1954 12:00,Open,33-34 80 STREET,403,25,28500,QN28,30,"(40.754389, -73.887523)",40.754389,-73.887523,11372,11372,Jackson Heights,Queens,I.S. 145 Joseph Pulitzer Junior High-Intermediate-Middle
1424,1424,30Q148      ,P.S. 148 Queens,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2029 12:00,Open,89-02 32 AVENUE,403,25,33900,QN28,30,"(40.757629, -73.878638)",40.757629,-73.878638,11369,11369,East Elmhurst,Queens,P.S. 148 Queens Elementary
1425,1425,30Q149      ,P.S. 149 Christa Mcauliffe,General Academic,Elementary,"0K,01,02,03,04,05",1/7/1936 12:00,Open,93-11 34 AVENUE,403,25,27300,QN28,30,"(40.755759, -73.874505)",40.755759,-73.874505,11372,11372,Jackson Heights,Queens,P.S. 149 Christa Mcauliffe Elementary
1426,1426,30Q150      ,P.S. 150 Queens,General Academic,Elementary,"PK,0K,01,02,03,04,05,06",1/7/1932 12:00,Open,40-01 43 AVENUE,402,26,18101,QN31,30,"(40.745887, -73.923375)",40.745887,-73.923375,11104,11104,Sunnyside,Queens,P.S. 150 Queens Elementary
1427,1427,30Q151      ,P.S. 151 Mary D. Carter,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1931 12:00,Open,50-05 31 AVENUE,401,22,16300,QN70,30,"(40.758027, -73.908146)",40.758027,-73.908146,11377,11377,Woodside,Queens,P.S. 151 Mary D. Carter Elementary
1428,1428,30Q152      ,P.S. 152 Gwendoline N. Alleyne School,General Academic,Elementary,"PK,0K,01,02,03,04,05,06",1/7/1938 12:00,Open,33-52 62 STREET,402,26,29300,QN63,30,"(40.753094, -73.900584)",40.753094,-73.900584,11377,11377,Woodside,Queens,P.S. 152 Gwendoline N. Alleyne School Elementary
1429,1429,30Q166      ,P.S. 166 Henry Gradstein,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1937 12:00,Open,33-09 35 AVENUE,401,26,5700,QN70,30,"(40.757497, -73.926249)",40.757497,-73.926249,11106,11106,Ravenswood (Astoria),Queens,P.S. 166 Henry Gradstein Elementary
1430,1430,30Q171      ,P.S. 171 Peter G. Van Alst,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1952 12:00,Open,14-14 29 AVENUE,401,22,8300,QN71,30,"(40.770926, -73.929093)",40.770926,-73.929093,11102,11102,Astoria,Queens,P.S. 171 Peter G. Van Alst Elementary
1431,1431,30Q204      ,I.S. 204 Oliver W. Holmes,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1957 12:00,Open,36-41 28 STREET,401,26,5100,QN68,30,"(40.756471, -73.932628)",40.756471,-73.932628,11106,11106,Ravenswood (Astoria),Queens,I.S. 204 Oliver W. Holmes Junior High-Intermediate-Middle
1432,1432,30Q212      ,P.S. 212,General Academic,Elementary,"0K,01,02,03,04,05",1/7/2000 12:00,Open,34-25 82 STREET,403,25,28300,QN28,30,"(40.753035, -73.884458)",40.753035,-73.884458,11372,11372,Jackson Heights,Queens,P.S. 212 Elementary
1433,1433,30Q222      ,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,General Academic,Early Childhood,"PK,0K,01,02",1/7/2002 12:00,Open,86-15 37 AVENUE,403,25,27900,QN28,30,"(40.750442, -73.879991)",40.750442,-73.879991,11372,11372,Jackson Heights,Queens,P.S. Q222 - Fire Fighter Christopher A. Santora Sc Early Childhood
1434,1434,30Q227      ,I.S. 227 Louis Armstrong,General Academic,Junior High-Intermediate-Middle,"05,06,07,08",1/7/1979 12:00,Open,32-02 JUNCTION BOULEVARD,403,21,35300,QN27,30,"(40.757567, -73.874614)",40.757567,-73.874614,11369,11369,East Elmhurst,Queens,I.S. 227 Louis Armstrong Junior High-Intermediate-Middle
1435,1435,30Q228      ,P.S. 228 Early Childhood Magnet School of the Arts,General Academic,Early Childhood,"PK,0K,01,02",1/7/2001 12:00,Open,32-63 93 STREET,403,21,35300,QN27,30,"(40.756931, -73.874947)",40.756931,-73.874947,11369,11369,East Elmhurst,Queens,P.S. 228 Early Childhood Magnet School of the Arts Early Childhood
1436,1436,30Q230      ,I.S. 230,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2000 12:00,Open,73-10 34 AVENUE,403,25,28900,QN28,30,"(40.752618, -73.892883)",40.752618,-73.892883,11372,11372,Jackson Heights,Queens,I.S. 230 Junior High-Intermediate-Middle
1437,1437,30Q234      ,P.S. 234,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2003 12:00,Open,30-15 29 STREET,401,22,7300,QN71,30,"(40.766898, -73.923044)",40.766898,-73.923044,11102,11102,Astoria,Queens,P.S. 234 Elementary
1438,1438,30Q235      ,Academy for New Americans,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1999 12:00,Open,30-14 30 STREET,401,22,7300,QN71,30,"(40.766898, -73.923044)",40.766898,-73.923044,11102,11102,Astoria,Queens,Academy for New Americans Junior High-Intermediate-Middle
1439,1439,30Q258      ,Energy Tech High School,Career Technical,High school,"09,10,11,12,13,14",1/7/2013 12:00,Open,36-41 28 STREET,401,26,5100,QN68,30,"(40.756471, -73.932628)",40.756471,-73.932628,11106,11106,Ravenswood (Astoria),Queens,Energy Tech High School High school
1440,1440,30Q280      ,P.S. 280,General Academic,Elementary,"0K,01,02,03,04,05",1/7/2010 12:00,Open,34-20 94TH STREET,403,25,27300,QN28,30,"(40.753345, -73.874109)",40.753345,-73.874109,11372,11372,Jackson Heights,Queens,P.S. 280 Elementary
1441,1441,30Q286      ,"Young Women's Leadership School, Astoria",General Academic,Secondary School,"06,07,08,09,10,11,12",1/7/2006 12:00,Open,23-15 NEWTOWN AVENUE,401,22,6900,QN71,30,"(40.770769, -73.92383)",40.770769,-73.92383,11102,11102,Astoria,Queens,"Young Women's Leadership School, Astoria Secondary School"
1442,1442,30Q291      ,Hunters Point Community Middle School,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/2013 12:00,Open,1-50 51ST AVENUE,402,26,100,QN31,30,"(40.742964, -73.959183)",40.742964,-73.959183,11101,11101,Long Island City,Queens,Hunters Point Community Middle School Junior High-Intermediate-Middle
1443,1443,30Q300      ,The 30th Avenue School (G&T Citywide),General Academic,K-8,"0K,01,02,03,04,05,06,07,08",1/7/2014 12:00,Open,28-37 29 STREET,401,22,7100,QN71,30,"(40.768034, -73.922544)",40.768034,-73.922544,11102,11102,Astoria,Queens,The 30th Avenue School (G&T Citywide) K-8
1444,1444,30Q301      ,Academy for Careers in Television and Film,Career Technical,High school,"09,10,11,12",1/7/2008 12:00,Open,1-50 51ST AVENUE,402,26,100,QN31,30,"(40.742964, -73.959183)",40.742964,-73.959183,11101,11101,Long Island City,Queens,Academy for Careers in Television and Film High school
1445,1445,30Q329      ,East Elmhurst Community School,General Academic,Elementary,"0K,01,02,03,04,05",1/7/2013 12:00,Open,26-25 97TH STREET,403,21,36100,QN27,30,"(40.761573, -73.872244)",40.761573,-73.872244,11369,11369,East Elmhurst,Queens,East Elmhurst Community School Elementary
