License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
670876,JAC   ,AL-BUKHARA INC                   ,6323,20TH AVE                    ,BROOKLYN          ,NY,11204,40.61724,-73.985107,11204,"Bensonhurst, Parkville",Brooklyn,AL-BUKHARA INC
671850,JAC   ,1223 GRAVESEND NECK ROAD CORP    ,1223,GRAVESEND NECK RD           ,BROOKLYN          ,NY,11229,40.594411,-73.957598,11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn,1223 GRAVESEND NECK ROAD CORP
706098,JAC   ,YESSE DELI GROCERY INC           ,4002,3RD AVE                     ,BROOKLYN          ,NY,11232,40.653211,-74.009084,11232,"Greenwood, Industry City, Bush Terminal, Sunset Park",Brooklyn,YESSE DELI GROCERY INC
671006,JABC  ,NUNZIO & SONS BAKING CORP        ,616,METROPOLITAN AVE             ,BROOKLYN          ,NY,11211,40.714142,-73.948501,11211,Williamsburg,Brooklyn,NUNZIO & SONS BAKING CORP
708239,JAC   ,JIMY CANDY GROCERY INC           ,8317,3RD AVE                     ,BROOKLYN          ,NY,11209,40.625259,-74.03033,11209,"Bay Ridge, Fort Hamilton",Brooklyn,JIMY CANDY GROCERY INC
710897,JAC   ,SALEH AMEN FAISALNAJ & KALED SALA,992,JEFFERSON AVE                ,BROOKLYN          ,NY,11221,40.686949,-73.918161,11221,"Bedford-Stuyvesant, Bushwick",Brooklyn,SALEH AMEN FAISALNAJ & KALED SALA
614514,A     ,HJ FULTON TRADING INC            ,635,FULTON ST                ,BROOKLYN          ,NY,11217,40.688482,-73.979861,11217,"Boerum Hill, Gowanus, Park Slope",Brooklyn,HJ FULTON TRADING INC
708167,A     ,ALDI INC (NEW YORK)              ,3785,NOSTRAND AVE            ,BROOKLYN          ,NY,11235,40.591687,-73.940145,11235,"Brighton Beach, Manhattan Beach, Sheepshead Bay",Brooklyn,ALDI INC (NEW YORK)
708528,JAC   ,BROOKLYN ROASTING COMPANY POWERPL,200,FLUSHING   38 WASHINGTON ,BROOKLYN          ,NY,11205,40.697738,-73.967968,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn,BROOKLYN ROASTING COMPANY POWERPL
715078,JAC   ,HAMZAN RADFAN A & ALRUBAI MARWAN ,185,NORMAN AVE                   ,BROOKLYN          ,NY,11222,40.727063,-73.946822,11222,Greenpoint,Brooklyn,HAMZAN RADFAN A & ALRUBAI MARWAN
707465,JAC   ,PITKIN AVENUE DELI & GROCERY CORP,1801,PITKIN AVE                  ,BROOKLYN          ,NY,11212,40.670307,-73.906531,11212,"Brownsville, East Flatbush",Brooklyn,PITKIN AVENUE DELI & GROCERY CORP
713706,JAC   ,RAAKA CHOCOLATE INC              ,62-64,SEABRING ST                ,BROOKLYN          ,NY,11231,40.681192,-74.00733,11231,"Carroll Gardens, Columbia Heights, Red Hook",Brooklyn,RAAKA CHOCOLATE INC
705924,JAC   ,NEW TAYEEBAS GROCERY CORP        ,1420,AVENUE J                    ,BROOKLYN          ,NY,11230,40.62994,-73.96247,11230,Midwood,Brooklyn,NEW TAYEEBAS GROCERY CORP
702909,JAC   ,D B C GROCERY CORP               ,38,HERZL STREET                  ,BROOKLYN          ,NY,11212,40.668991,-73.915435,11212,"Brownsville, East Flatbush",Brooklyn,D B C GROCERY CORP
