,RegionName,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-02,PctChange,zcta,nbhLabel,boroLabel
0,10025,2963,3111,3296,3543,3618,3566,3555,3509,15.5599886,10025,Upper West Side,Manhattan
1,10023,3212,3343,3555,3974,3897,3847,3869,3782,15.0713908,10023,Upper West Side,Manhattan
2,10002,3091,3270,3380,3836,3707,3683,3752,3692,16.27843987,10002,Lower East Side,Manhattan
3,10467,1492,1551,1595,1699,1797,1692,1796,1802,17.20310766,10467,"Norwood, Olinville, Allerton",Bronx
4,11226,1578,1694,1923,2001,2080,2172,2275,2291,31.12178088,11226,"Flatbush, Prospect Park South",Brooklyn
5,10016,3125,3246,3430,3817,3664,3671,3728,3658,14.57080372,10016,"Murray Hill, Kips Bay",Manhattan
6,11375,1665,1721,1932,2171,2246,2145,2098,2103,20.82738944,11375,"Forest Hills, Forest Hills Gardens",Queens
7,11235,1623,1689,1810,2065,2152,2237,2274,2285,28.97155361,11235,"Brighton Beach, Manhattan Beach, Sheepshead Bay",Brooklyn
8,10009,3168,3262,3365,4022,3737,3845,3853,3767,15.90124768,10009,East Village,Manhattan
9,10029,2611,2592,2709,2872,3056,2992,3014,2972,12.14670256,10029,"East Harlem, Carnegie Hill",Manhattan
10,10011,3410,3435,3689,4455,4350,4296,4339,4227,19.328128699999997,10011,"Chelsea ,  Village",Manhattan
11,10128,2930,3046,3057,3239,3406,3372,3361,3342,12.32794734,10128,Upper East Side,Manhattan
12,11201,2228,2552,2802,2881,2938,2872,2964,2929,23.93308296,11201,"Boerum Hill, Brooklyn Heights, Cobble Hill, Downtown Brooklyn, DUMBO, Vinegar Hill",Brooklyn
13,10462,1500,1570,1624,1737,1769,1695,1669,1663,9.80156344,10462,"Parkchester, East Bronx",Bronx
14,10456,1578,1582,1637,1691,1823,1840,1887,1894,16.6842661,10456,? (is a point on the map),Bronx
15,10003,3337,3418,3667,4226,4026,4047,4150,4086,18.33088595,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan
16,11206,1854,2052,2414,2514,2624,2638,2609,2578,28.08378588,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn
17,10463,1588,1640,1661,1753,1900,1939,1969,1964,19.14460285,10463,"Kingsbridge, Spuyten Duyvil, Marble Hill",Bronx
18,11230,1631,1676,1783,2042,2171,2273,2269,2271,28.18141788,11230,Midwood,Brooklyn
